Date,Invoice_ID,Customer_ID,Product_Name,Category,Quantity,Unit_Price,Total_Amount,Unit_Cost,Current_Stock,Reorder_Level,Lead_Time_Days,Payment_Method
2025-05-01 15:23:11,INV-20250501-0001,CUST-1000,Amul Taaza Homogenised Toned Milk 1L,Dairy,2,72.0,144.0,58.0,48,15,2,Credit Card
2025-05-01 17:04:40,INV-20250501-0002,CUST-1001,Amul Taaza Homogenised Toned Milk 1L,Dairy,2,72.0,144.0,58.0,48,15,2,UPI
2025-05-01 14:12:29,INV-20250501-0011,CUST-1013,Harvest Gold 100% Atta Whole Wheat Bread 400g,Bakery,1,55.0,55.0,42.0,32,10,1,Cash
2025-05-01 17:51:29,INV-20250501-0021,CUST-1026,Tata Salt Vacuum Evaporated Iodised Salt 1kg,Staples,3,28.0,84.0,21.0,85,25,4,Credit Card
2025-05-01 21:08:57,INV-20250501-0022,CUST-1027,Tata Salt Vacuum Evaporated Iodised Salt 1kg,Staples,3,28.0,84.0,21.0,85,25,4,Credit Card
2025-05-01 20:23:00,INV-20250501-0031,CUST-1039,Fortune Sunlite Refined Sunflower Oil 1L Pouch,Staples,1,165.0,165.0,138.0,42,15,3,UPI
2025-05-01 13:19:35,INV-20250501-0041,CUST-1052,Nestle Maggi 2-Minute Masala Instant Noodles 280g,Instant Food,1,56.0,56.0,44.0,110,35,2,Credit Card
2025-05-01 13:56:39,INV-20250501-0042,CUST-1053,Nestle Maggi 2-Minute Masala Instant Noodles 280g,Instant Food,3,56.0,168.0,44.0,110,35,2,Cash
2025-05-01 11:55:07,INV-20250501-0051,CUST-1065,Aashirvaad Superior MP Shudh Chakki Atta 5kg,Staples,1,275.0,275.0,230.0,28,12,3,Debit Card
2025-05-01 09:52:42,INV-20250501-0052,CUST-1066,Aashirvaad Superior MP Shudh Chakki Atta 5kg,Staples,1,275.0,275.0,230.0,28,12,3,Cash
2025-05-01 17:36:19,INV-20250501-0061,CUST-1078,Coca-Cola Original Taste 750ml PET Bottle,Beverages,2,40.0,80.0,29.0,64,20,2,Cash
2025-05-01 12:39:20,INV-20250501-0071,CUST-1091,Surf Excel Easy Wash Detergent Powder 1kg,Household,3,145.0,435.0,118.0,38,15,5,UPI
2025-05-01 19:51:23,INV-20250501-0081,CUST-1104,Dettol Original Liquid Handwash Refill 175ml,Personal Care,3,99.0,297.0,76.0,52,18,3,UPI
2025-05-01 15:09:45,INV-20250501-0091,CUST-1117,Britannia Good Day Cashew Cookies 200g,Snacks,2,45.0,90.0,34.0,70,25,2,UPI
2025-05-01 20:59:10,INV-20250501-0101,CUST-1130,Lipton Green Tea Honey Lemon Flavour 25 Bags,Beverages,1,195.0,195.0,152.0,22,10,4,UPI
2025-05-01 12:19:20,INV-20250501-0111,CUST-1143,Epigamia Artisanal Greek Yogurt Strawberry 90g,Dairy,1,60.0,60.0,46.0,18,8,2,Credit Card
2025-05-01 14:57:05,INV-20250501-0112,CUST-1144,Epigamia Artisanal Greek Yogurt Strawberry 90g,Dairy,3,60.0,180.0,46.0,18,8,2,UPI
2025-05-01 16:59:37,INV-20250501-0121,CUST-1006,Cadbury Dairy Milk Silk Chocolate Bar 150g,Confectionery,1,185.0,185.0,148.0,40,15,3,Credit Card
2025-05-01 13:23:35,INV-20250501-0131,CUST-1019,Colgate Total Advanced Health Toothpaste 120g,Personal Care,1,125.0,125.0,96.0,60,20,3,UPI
2025-05-01 18:13:46,INV-20250501-0132,CUST-1020,Colgate Total Advanced Health Toothpaste 120g,Personal Care,3,125.0,375.0,96.0,60,20,3,Credit Card
2025-05-01 15:29:22,INV-20250501-0141,CUST-1032,Lays Indias Magic Masala Potato Chips 50g,Snacks,2,20.0,40.0,15.0,95,30,2,Cash
2025-05-02 16:43:30,INV-20250502-0001,CUST-1007,Amul Taaza Homogenised Toned Milk 1L,Dairy,2,72.0,144.0,58.0,48,15,2,UPI
2025-05-02 20:11:05,INV-20250502-0002,CUST-1008,Amul Taaza Homogenised Toned Milk 1L,Dairy,1,72.0,72.0,58.0,48,15,2,Credit Card
2025-05-02 15:03:56,INV-20250502-0011,CUST-1020,Harvest Gold 100% Atta Whole Wheat Bread 400g,Bakery,3,55.0,165.0,42.0,32,10,1,Credit Card
2025-05-02 16:52:13,INV-20250502-0012,CUST-1021,Harvest Gold 100% Atta Whole Wheat Bread 400g,Bakery,2,55.0,110.0,42.0,32,10,1,UPI
2025-05-02 09:52:47,INV-20250502-0021,CUST-1033,Tata Salt Vacuum Evaporated Iodised Salt 1kg,Staples,1,28.0,28.0,21.0,85,25,4,Credit Card
2025-05-02 20:40:27,INV-20250502-0031,CUST-1046,Fortune Sunlite Refined Sunflower Oil 1L Pouch,Staples,2,165.0,330.0,138.0,42,15,3,Credit Card
2025-05-02 15:09:52,INV-20250502-0041,CUST-1059,Nestle Maggi 2-Minute Masala Instant Noodles 280g,Instant Food,1,56.0,56.0,44.0,110,35,2,Debit Card
2025-05-02 13:36:18,INV-20250502-0051,CUST-1072,Aashirvaad Superior MP Shudh Chakki Atta 5kg,Staples,1,275.0,275.0,230.0,28,12,3,Cash
2025-05-02 10:23:46,INV-20250502-0052,CUST-1073,Aashirvaad Superior MP Shudh Chakki Atta 5kg,Staples,1,275.0,275.0,230.0,28,12,3,UPI
2025-05-02 19:42:32,INV-20250502-0061,CUST-1085,Coca-Cola Original Taste 750ml PET Bottle,Beverages,1,40.0,40.0,29.0,64,20,2,UPI
2025-05-02 16:45:57,INV-20250502-0071,CUST-1098,Surf Excel Easy Wash Detergent Powder 1kg,Household,3,145.0,435.0,118.0,38,15,5,UPI
2025-05-02 19:12:02,INV-20250502-0072,CUST-1099,Surf Excel Easy Wash Detergent Powder 1kg,Household,2,145.0,290.0,118.0,38,15,5,UPI
2025-05-02 18:25:02,INV-20250502-0081,CUST-1111,Dettol Original Liquid Handwash Refill 175ml,Personal Care,2,99.0,198.0,76.0,52,18,3,UPI
2025-05-02 17:15:57,INV-20250502-0082,CUST-1112,Dettol Original Liquid Handwash Refill 175ml,Personal Care,3,99.0,297.0,76.0,52,18,3,Debit Card
2025-05-02 15:57:52,INV-20250502-0091,CUST-1124,Britannia Good Day Cashew Cookies 200g,Snacks,3,45.0,135.0,34.0,70,25,2,UPI
2025-05-02 15:07:59,INV-20250502-0101,CUST-1137,Lipton Green Tea Honey Lemon Flavour 25 Bags,Beverages,2,195.0,390.0,152.0,22,10,4,UPI
2025-05-02 09:44:40,INV-20250502-0102,CUST-1138,Lipton Green Tea Honey Lemon Flavour 25 Bags,Beverages,2,195.0,390.0,152.0,22,10,4,UPI
2025-05-02 16:39:52,INV-20250502-0111,CUST-1000,Epigamia Artisanal Greek Yogurt Strawberry 90g,Dairy,2,60.0,120.0,46.0,18,8,2,UPI
2025-05-02 20:12:15,INV-20250502-0121,CUST-1013,Cadbury Dairy Milk Silk Chocolate Bar 150g,Confectionery,1,185.0,185.0,148.0,40,15,3,UPI
2025-05-02 15:37:59,INV-20250502-0122,CUST-1014,Cadbury Dairy Milk Silk Chocolate Bar 150g,Confectionery,3,185.0,555.0,148.0,40,15,3,UPI
2025-05-02 10:34:37,INV-20250502-0131,CUST-1026,Colgate Total Advanced Health Toothpaste 120g,Personal Care,3,125.0,375.0,96.0,60,20,3,Debit Card
2025-05-02 21:50:44,INV-20250502-0141,CUST-1039,Lays Indias Magic Masala Potato Chips 50g,Snacks,2,20.0,40.0,15.0,95,30,2,UPI
