transaction_id,bill_number,date,time,day_name,is_weekend,month,year,festival_season,weather_tag,store_name,store_city,store_state,region,gender,loyalty_member,product_id,product_name,category,subcategory,brand,unit_size,quantity_sold,mrp,selling_price,discount_amount,discount_percent,gross_sales,net_sales,payment_mode,stock_before_sale,stock_after_sale,reorder_level,low_stock_flag,dead_stock_flag,promotion_type,return_flag,return_reason,basket_size,margin_percent,profit_amount
T20250027538,B20250009634,1/1/2025,10:03:25,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P090,Organic Quinoa 500g,Health & Wellness,Organic,Organic India,500g,1,320,320,0,0,320,320,card,30,29,10,0,0,none,0,,6,20,64
T20250027539,B20250009634,1/1/2025,10:03:25,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P022,Amul Paneer 200g,Dairy,Paneer,Amul,200g,1,90,75.6,14.4,16,90,75.6,card,100,99,50,0,0,member discount,0,,6,9,6.8
T20250027540,B20250009634,1/1/2025,10:03:25,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P027,Eggs Regular 12pcs,Dairy,Eggs,Local Farm,12pcs,1,85,68,17,20,85,68,card,300,299,60,0,0,weekly discount,0,,6,9,6.12
T20250027541,B20250009634,1/1/2025,10:03:25,Wednesday,0,1,2025,,Foggy,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P068,Dettol Hand Sanitizer 200ml,Health & Wellness,Sanitizer,Dettol,200ml,3,95,95,0,0,285,285,card,60,57,30,0,0,none,0,,6,20,57
T20250027542,B20250009634,1/1/2025,10:03:25,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P023,Bread White 400g,Bakery,Bread,Britannia,400g,4,38,27.36,42.56,28,152,109.44,card,180,176,90,0,0,weekly discount,0,,6,15,16.42
T20250002911,B20250001029,1/1/2025,10:05:41,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P077,Onion 1kg,Fruits & Vegetables,Vegetables,Local Farm,1kg,3,40,40,0,0,120,120,upi,160,157,80,0,0,none,0,,1,12,14.4
T20250049764,B20250017439,1/1/2025,10:11:29,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,0,P019,Mother Dairy Toned Milk 1L,Dairy,Milk,Mother Dairy,1L,3,62,49.6,37.2,20,186,148.8,upi,360,357,90,0,0,member discount,0,,12,9,13.39
T20250049765,B20250017439,1/1/2025,10:11:29,Wednesday,0,1,2025,,Foggy,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,0,P062,Surf Excel Detergent 1kg,Cleaning Supplies,Detergent,Surf Excel,1kg,2,190,190,0,0,380,380,upi,300,298,60,0,0,none,0,,12,18,68.4
T20250049766,B20250017439,1/1/2025,10:11:29,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,0,P063,Tide Detergent Powder 1kg,Cleaning Supplies,Detergent,Tide,1kg,2,170,170,0,0,340,340,upi,180,178,60,0,0,none,0,,12,18,61.2
T20250072256,B20250025285,1/1/2025,10:46:57,Wednesday,0,1,2025,,Foggy,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P066,Lizol Floor Cleaner 1L,Cleaning Supplies,Cleaner,Lizol,1L,1,170,170,0,0,170,170,upi,80,79,40,0,0,none,0,,8,18,30.6
T20250072257,B20250025285,1/1/2025,10:46:57,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P065,Harpic Toilet Cleaner 1L,Cleaning Supplies,Cleaner,Harpic,1L,4,160,160,0,0,640,640,upi,80,76,40,0,0,none,0,,8,18,115.2
T20250072258,B20250025285,1/1/2025,10:46:57,Wednesday,0,1,2025,,Pleasant,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P056,Colgate Toothpaste 200g,Personal Care,Toothpaste,Colgate,200g,1,110,110,0,0,110,110,upi,280,279,70,0,0,none,0,,8,20,22
T20250072259,B20250025285,1/1/2025,10:46:57,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P073,Amul Ice Cream Family Pack 1L,Frozen Foods,Ice Cream,Amul,1L,2,210,210,0,0,420,420,upi,120,118,40,0,0,none,0,,8,17,71.4
T20250002396,B20250000849,1/1/2025,10:57:18,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P066,Lizol Floor Cleaner 1L,Cleaning Supplies,Cleaner,Lizol,1L,1,170,170,0,0,170,170,upi,200,199,40,0,0,none,0,,5,18,30.6
T20250082813,B20250028957,1/1/2025,11:01:56,Wednesday,0,1,2025,,Foggy,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,0,P079,Tomato 1kg,Fruits & Vegetables,Vegetables,Local Farm,1kg,3,50,50,0,0,150,150,upi,160,157,80,0,0,none,0,,8,12,18
T20250037996,B20250013276,1/1/2025,11:29:40,Wednesday,0,1,2025,,Foggy,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,0,P094,Premium Dark Chocolate 90g,Snacks,Chocolate,Lindt,90g,1,250,250,0,0,250,250,upi,75,74,15,0,0,none,0,,8,18,45
T20250063657,B20250022319,1/1/2025,11:33:59,Wednesday,0,1,2025,,Foggy,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P074,Kwality Walls Cornetto 110ml,Frozen Foods,Ice Cream,Kwality Walls,110ml,4,40,40,0,0,160,160,cash,120,116,60,0,0,none,0,,12,17,27.2
T20250048930,B20250017144,1/1/2025,11:34:43,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P073,Amul Ice Cream Family Pack 1L,Frozen Foods,Ice Cream,Amul,1L,2,210,210,0,0,420,420,card,160,158,40,0,0,none,0,,4,17,71.4
T20250048931,B20250017144,1/1/2025,11:34:43,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,male,0,P060,Himalaya Face Wash 100ml,Personal Care,Face Wash,Himalaya,100ml,4,140,140,0,0,560,560,card,105,101,35,0,0,none,0,,4,20,112
T20250021120,B20250007394,1/1/2025,11:55:40,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,1,P030,Parle-G Biscuits 100g,Snacks,Biscuits,Parle,100g,1,10,10,0,0,10,10,card,750,749,150,0,0,none,0,,8,18,1.8
T20250021121,B20250007394,1/1/2025,11:55:40,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,1,P026,Eggs Regular 6pcs,Dairy,Eggs,Local Farm,6pcs,1,45,45,0,0,45,45,card,160,159,80,0,0,none,0,,8,9,4.05
T20250005643,B20250002011,1/1/2025,12:17:47,Wednesday,0,1,2025,,Cold,Cart Insight Supermart,Agra,Uttar Pradesh,North,female,0,P085,MDH Garam Masala 100g,Grocery,Masala,MDH,100g,3,75,75,0,0,225,225,upi,100,97,50,0,0,none,0,,1,10,22.5
